H.alpha H.beta S.II.6718 S.II.6733 H.gamma O.II O.III.5008 O.III.4960 N.II.6585 N.II.6550
3.33148 2.067 1.44231 1.15532 1.14995 2.0115 0.184125 -0.744458 2.17149 1.05734
3.96543 2.55159 2.33382 2.05502 1.66416 3.23478 2.04982 0.948191 3.03584 2.01231
2.10056 1.15192 1.17874 1.08947 0.34619 2.9072 2.22634 0.877381 2.11629 0.992064
3.59245 2.45448 2.25994 2.23948 1.49591 3.81838 4.49199 3.2718 3.36044 2.25231
2.04392 1.06202 0.833646 0.313489 0.0783675 2.05093 0.292428 -1.28322 1.06633 -0.378379
3.12149 1.68838 1.40199 1.16461 0.402891 2.43467 2.614 1.40596 2.66152 1.40281
3.15333 1.84319 1.60017 1.08079 1.39356 2.80374 1.18024 0.259341 1.73457 0.74872
3.09892 1.60344 1.73012 0.889018 0.914618 2.28422 1.4258 0.234944 2.43952 1.27412
3.00758 1.6499 1.48706 1.06559 0.313277 2.73536 1.06807 -0.599414 1.65854 0.454454
3.01595 1.83447 1.57344 0.99181 0.900296 2.80065 0.475725 -0.170663 1.6985 0.652486
3.30566 2.03872 1.56254 1.0341 1.44482 2.38921 0.849859 -1.07394 2.09234 0.781423
2.9828 1.86841 1.12541 0.151568 0.136005 1.94452 -0.0168204 -0.47594 1.88583 0.283344
3.47153 2.20697 1.71238 1.40823 1.31708 2.37282 0.265936 -0.648545 2.33845 1.13896
1.68426 0.885148 0.616605 0.193727 0.471814 2.18421 1.41577 -1.43429 1.0952 -0.760936
3.05068 1.72971 1.19572 1.08643 1.16117 2.0637 0.715202 -0.715416 1.72341 0.615868
4.28724 2.74853 2.44419 2.2002 1.89172 3.8257 3.22909 2.02958 2.19693 1.18774
0.434305 -0.386839 -1.12858 -1.28193 -0.121455 1.52862 0.166588 -1.3447 0.2093 -0.889579
3.53456 2.26032 1.76772 1.4906 1.33872 2.53926 1.01498 -0.536031 2.87851 1.85378
2.30486 1.03069 1.00748 0.514632 0.499264 2.30866 1.21889 0.351269 1.7536 0.532075
2.64673 1.51285 0.939091 0.621153 1.04915 2.07609 0.483259 -0.432162 1.7965 0.751622
2.62035 1.47918 0.758812 0.436191 0.831046 1.85158 0.387492 -0.288784 1.84612 0.557661
3.09579 1.84458 1.34151 0.729184 1.07727 2.56436 0.863803 -0.19566 1.94142 0.911489
3.28815 2.0064 1.50895 1.11562 1.26103 1.87174 0.522778 -0.196355 2.21531 1.12635
3.3261 2.28947 1.94282 1.40613 1.31693 2.50178 2.8137 1.38441 3.2425 2.4458
3.66085 2.08587 1.90549 1.74592 0.952626 2.47299 1.37083 -0.134207 3.12298 2.1832
3.30675 2.33309 1.06725 0.830051 1.10345 2.5463 0.999173 -0.485374 2.12095 1.04639
3.4608 2.11489 1.94521 1.43245 1.2105 2.87838 0.921355 -1.46881 2.10455 1.08305
2.89008 1.6682 2.05161 1.50521 0.681123 3.62092 2.91163 1.69904 2.49821 1.48968
4.02668 3.02639 2.87278 3.26457 2.36168 5.02463 5.08228 3.90691 4.09075 2.63629
4.02997 2.49755 2.49569 1.82686 1.55955 3.01326 1.47708 0.00511575 2.86513 1.70093
3.37987 1.81765 1.33084 1.13142 0.938023 2.07132 0.41036 -0.377555 2.32983 1.3456
2.83805 1.6786 1.09438 0.609694 0.843776 1.72378 0.855114 -0.557479 2.04479 0.407673
3.08367 1.71608 1.18087 0.936647 1.05398 1.9787 0.239007 -0.744773 2.02066 0.701628
4.6144 3.02182 2.84179 2.55897 2.06929 3.72006 2.97546 1.85438 3.57493 2.11092
4.61458 3.20169 2.76852 2.35273 2.1966 4.22591 3.9418 2.76825 2.38554 1.46486
